z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0.0,2.779233970545488,0.0,300.0,0.7960350414447841,0.33519553303090116,1.879576682633396e-18,0.13966480398510603,4.801551181810192e-19,-2.4306140675030358e-18,1.5407795366964557e-21,2.323229713063391e-19,1.2465530594341912e-18,0.5251396629839928
0.002166666666666667,2.7792339705450724,0.0,300.0000000000005,0.7960350414449029,0.33519553303078986,4.21565200255651e-22,0.13966480398513031,7.352330359313655e-21,-2.2807197569282573e-18,3.4257301625286435e-19,2.3484021913377264e-18,1.248064588823992e-18,0.5251396629840799
0.003666666666666667,2.7792339705283737,0.0,300.0000000000357,0.7960350414496856,0.3351955330262628,-3.049820230375923e-23,0.1396648039861184,-1.745133281437856e-21,-1.6498542280965457e-18,1.4406392981567964e-18,2.3223250797251536e-18,1.2514364097544142e-18,0.5251396629876188
0.005166666666666667,2.779233969704544,0.0,300.0000000029602,0.7960350416856483,0.33519553279999426,1.5419602991403304e-21,0.13966480403550713,6.589974224016924e-20,5.287770828287373e-17,1.6139889423791458e-16,1.9135392756040084e-17,1.6229926692689605e-18,0.5251396631644983
0.005916666666666667,2.779233954483471,0.0,300.0000000944219,0.7960350460453037,0.3351955285272416,6.181647320318372e-20,0.13966480496814043,2.6617602099766098e-18,2.134799349334559e-15,8.336128739528391e-15,7.354865861336442e-16,2.2677821777805336e-17,0.5251396665046068
0.006291666666666668,2.779233812209402,0.0,300.00000154751024,0.7960350867957859,0.33519548711541747,1.2208481844517187e-18,0.13966481400722427,5.2922424449968404e-17,4.1725083939059395e-14,2.2090937667945855e-13,1.8770518486302323e-14,6.25828183673831e-16,0.5251396988770762
0.006572916666666668,2.7792326341612053,0.0,300.00002220171984,0.7960354242153683,0.33519512297758297,2.2278356569531464e-17,0.13966489348716596,1.026384164367504e-15,7.066688980834484e-13,5.1392555381783235e-12,4.5330441024178584e-13,1.5933052884036775e-14,0.525139983528935
0.006750000000000001,2.7792269451981526,0.0,300.00019825583666,0.7960370536668058,0.33519317648995667,3.350521969837329e-16,0.1396653183237743,1.910082804660305e-14,7.365384672223848e-12,7.284202597847589e-11,6.798880183693196e-12,2.46613421642823e-13,0.5251415050989968
0.006916666666666666,2.7791973270777968,0.0,300.0019221019316,0.7960455370938614,0.3351810534893532,8.746649634407285e-15,0.13966796394036077,6.224114727183824e-13,8.34993305819815e-11,1.133773903136412e-09,1.1312238190962236e-10,4.198263123184401e-12,0.525150981235061
0.007,2.779144015538146,0.0,300.0086787555378,0.7960608074101531,0.33515022866263294,1.3977107594176945e-13,0.13967468890424292,1.0885232090645316e-11,4.301008421832792e-10,7.695650472025322e-09,8.106782786828803e-10,3.089105343391884e-11,0.5251750734547784
0.007041666666666667,2.779106032688579,0.0,300.02360960577914,0.7960716874035582,0.33510333508002654,9.44446707034363e-13,0.13968491339700043,7.442545052442173e-11,1.3042288533001181e-09,2.9611840960427312e-08,3.261436850846297e-09,1.277131617571425e-10,0.5252117171423833
0.007083333333333334,2.7791434396305545,0.0,300.07258098877185,0.7960609723744632,0.33499259606594456,6.13281971865386e-12,0.13970903090975567,4.868969315153192e-10,4.532168327147437e-09,1.3449531543924486e-07,1.556948560194167e-08,6.281941293305449e-10,0.5252982173061064
0.007125,2.7796488887206334,0.0,300.2332073759247,0.7959162173083477,0.3347311656699521,4.022455139747949e-11,0.13976583489827177,3.1843442683872534e-09,1.6448829160475258e-08,6.357749366079527e-07,7.692775170384159e-08,3.214134157868878e-09,0.5255022638415559
0.007145833333333334,2.780672557567144,0.0,300.45083842679406,0.7956232110071472,0.33446714108685793,1.3137040865284618e-10,0.1398229640088065,1.0153225259690078e-08,3.443959528245963e-08,1.5951818365225503e-06,1.9814873899114296e-07,8.543909083699388e-09,0.5257080483056599
0.007166666666666667,2.783319454321349,0.0,300.91648105067947,0.7948665848213369,0.334024042483429,4.3362897190225965e-10,0.13991822182350316,3.273420427349726e-08,7.661800375009581e-08,4.361158583394835e-06,5.59712144269892e-07,2.494538791298579e-08,0.5260526800911152
0.007187499999999999,2.7897453683514506,0.0,301.9122782430371,0.7930356850582836,0.33328173446610926,1.4945030663405521e-09,0.1400759989794387,1.0596801666377234e-07,1.755165496248631e-07,1.2310945101373536e-05,1.6335506514435816e-06,7.526919308641792e-08,0.5266279638104369
0.007197916666666667,2.7961753273953938,0.0,302.83460158368194,0.7912120559125247,0.3327231058037694,3.244827191876246e-09,0.14019275525463892,2.0510321070221395e-07,2.7528277034646385e-07,2.184777987924363e-05,2.959074939955636e-06,1.3923960939823014e-07,0.5270587092163548
0.007208333333333333,2.8067302327159616,0.0,304.2797755623717,0.7882366477104226,0.33197834601868,7.705596067015362e-09,0.14034517638487828,4.0520747062957476e-07,4.4268986975738494e-07,4.0219920654312046e-05,5.585618409639217e-06,2.684752808820703e-07,0.5276295479791604
0.007218749999999999,2.823877788497601,0.0,306.5407679816734,0.7834502041391168,0.3309883476027427,2.1364245444786692e-08,0.140541463295817,8.126662856603134e-07,7.247907824318635e-07,7.542947954410259e-05,1.076246565755817e-05,5.278603146622569e-07,0.5283819104746105
0.007223958333333333,2.8363722754222085,0.0,308.14741155583954,0.7799990322582092,0.3303711720514558,4.187110711117041e-08,0.14065921033038953,1.1827943008475636e-06,9.408095393438485e-07,0.00010506010101778738,1.5213106976395114e-05,7.542728129256627e-07,0.5288464246624002
0.007229166666666667,2.852613264730842,0.0,310.2025504975575,0.7755582074086602,0.3296546951345698,8.45826478880888e-08,0.14079064484259035,1.744216647744907e-06,1.2334346235799195e-06,0.00014799952678100497,2.1763056705041678e-05,1.0916181003221106e-06,0.5293807435873343
0.007234374999999999,2.8736504795270865,0.0,312.82717040681996,0.7698805563952023,0.3288246657521959,1.7734269183179476e-07,0.14093526830776348,2.605227413425111e-06,1.6321801962657383e-06,0.00020996387750663343,3.1317625187216075e-05,1.5911249732750633e-06,0.529992778562072
0.007239583333333333,2.9007939106901706,0.0,316.1717401808921,0.7626765975693257,0.3278655798620017,3.817921254000277e-07,0.14109138960171946,3.945695493053107e-06,2.180091310714164e-06,0.0002989010832447802,4.507731573662157e-05,2.3244952481443925e-06,0.5306902200631202
0.007244791666666667,2.9356555869025764,0.0,320.42096609140333,0.7536196139135151,0.3267609263403813,8.321918111318213e-07,0.14125564116688155,6.070840164959388e-06,2.9414687954137727e-06,0.0004256768041594012,6.452837731256536e-05,3.388915004516847e-06,0.5314799938954893
0.00725,2.9801800242583423,0.0,325.7973302443055,0.7423603983095985,0.325493602480081,1.8127623297444516e-06,0.14142248076985367,9.504792910285025e-06,4.014481605045542e-06,0.0006048177963911669,9.13087689459925e-05,4.91013298834978e-06,0.5323675480148947
0.007255208333333333,3.0366459817063287,0.0,332.5614896621202,0.7285563226527887,0.3240465215939721,3.902838284461546e-06,0.1415838100591845,1.5143733991932143e-05,5.55116383442293e-06,0.0008551778541324035,0.0001268529017168336,7.0400486714455025e-06,0.5333559998062118
0.0072578125,3.070339927566022,0.0,336.57788133396684,0.7205611371038665,0.3232437886782316,5.803366893703114e-06,0.1416588229546295,1.9384021705948382e-05,6.589947821359084e-06,0.0010172236061134297,0.00014829443285259162,8.405840106584986e-06,0.5338916871516454
0.007260416666666667,3.1082735164275874,0.0,341.0843106519009,0.7117673582042638,0.3223871082870258,8.525360891806698e-06,0.1417267400744205,2.4918465278593205e-05,7.863469595504805e-06,0.0012096467305375172,0.0001722698696594012,1.0014316555297777e-05,0.5344529134260355
