z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0.0,3.1045110900842134,0.0,300.0,0.6933723439782794,0.4306220072251404,-1.797259576313468e-18,0.11961722537287256,4.4025838745436e-18,-1.329985859431794e-18,2.503837201395821e-20,2.0203724105919675e-18,-2.6794406748718128e-18,0.44976076740198695
0.002166666666666667,3.1045110900840385,0.0,300.00000000000125,0.6933723439783162,0.43062200722510374,7.277870416706001e-22,0.11961722537288069,5.811555284319919e-20,-1.1782184573539422e-18,4.2460599371649805e-18,4.2526149474686195e-18,-2.681958742819106e-18,0.44976076740201554
0.003666666666666667,3.1045110900783595,0.0,300.0000000000846,0.6933723439795823,0.4306220072237506,-4.1659524839812796e-23,0.11961722537318387,3.771288649511916e-22,-5.615084270212084e-19,5.39951842322857e-18,4.3082578251844885e-18,-2.680296929951723e-18,0.44976076740306553
0.005166666666666667,3.1045110897904107,0.0,300.00000000667586,0.6933723440438891,0.4306220071499699,2.1062932765351007e-21,0.11961722538971718,6.719993206129873e-20,5.391278464047107e-17,1.6805075790981511e-16,2.494765966201862e-17,-2.2654915897725096e-18,0.4497607674603128
0.005916666666666667,3.1045110844579527,0.0,300.0000002029832,0.6933723452348483,0.43062200562439173,8.727280135384265e-20,0.11961722573157982,2.7242111348388187e-18,2.186066663407128e-15,8.573466318643616e-15,9.308238719272674e-16,2.1608509175618002e-17,0.4497607686440168
0.006291666666666668,3.1045110372306572,0.0,300.0000031753692,0.6933723557827371,0.4306219894677964,1.7524380268909235e-18,0.11961722935200313,5.4763829372078665e-17,4.3623355054197814e-14,2.2979935309597014e-13,2.4202864977927592e-14,7.130736606499289e-16,0.4497607811799021
0.006572916666666668,3.104510707317439,0.0,300.0000434848647,0.6933724294666352,0.43062183469874027,3.151726883115062e-17,0.11961726403160815,1.0169421068895032e-15,7.536351880402639e-13,5.411987906526323e-12,5.931003683629739e-13,1.8452439190859446e-14,0.44976090126287327
0.006750000000000001,3.1045097657011778,0.0,300.00037165215923,0.6933726397702813,0.4306209360409738,4.2564791687351857e-16,0.11961746537511182,1.6083965507360683e-14,8.001895864041466e-12,7.763391200765656e-11,9.013740165856912e-12,2.886550813906407e-13,0.44976159848895964
0.006916666666666666,3.104512305290009,0.0,300.0034441037418,0.6933720725678028,0.4306148747030289,9.908277241460032e-15,0.1196188230692102,4.780113763592988e-13,9.24227643376569e-11,1.223454689003485e-09,1.5210759585406646e-10,4.966314749613378e-12,0.44976630075432156
0.007,3.104551434189197,0.0,300.014977040998,0.6933633334957614,0.43059825298036764,1.6053712877981284e-13,0.1196225440744175,8.778180236227854e-12,4.836833378994042e-10,8.398248199042522e-09,1.107554668576208e-09,3.6890212284390544e-11,0.44977919290989965
0.007041666666666667,3.1046752437241807,0.0,300.0395052393119,0.6933356832580024,0.43057130891526413,1.1632826833963122e-12,0.11962856907324297,6.484101556108967e-11,1.486198752562614e-09,3.263703466560935e-08,4.524808210697589e-09,1.5379938666950352e-10,0.44980008314364756
0.007083333333333334,3.105155359567249,0.0,300.11723359290056,0.6932284804159766,0.43050410517669585,8.084807012584474e-12,0.11964356530329669,4.5460909255556057e-10,5.24128927789937e-09,1.498499283426358e-07,2.1952982183585437e-08,7.634889878269164e-10,0.44985215124962485
0.007125,3.1068955457568093,0.0,300.36351062345875,0.6928402000020789,0.43033658064059527,5.716394846270745e-11,0.11968079392418593,3.191789436633166e-09,1.9299895267987024e-08,7.157064112806096e-07,1.1022124057714542e-07,3.940875397369073e-09,0.44998177301784276
