z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0.0,2.7778457244624812,0.0,300.0,0.6164827028134409,0.5020920497964904,-1.4241687479305597e-19,0.10460251054695505,-2.000004634033831e-19,8.099930271012221e-20,-6.91413446036357e-22,1.0999361139981711e-18,1.8201046419201983e-20,0.39330543965655473
0.002166666666666667,2.777845724462035,0.0,300.00000000003786,0.6164827028135389,0.5020920497963274,-9.006708923744279e-23,0.10460251054699238,1.168532990352278e-21,1.7348261336717965e-19,2.2456195856865987e-19,8.285966046537476e-19,1.875749360221798e-20,0.3933054396566803
0.003666666666666667,2.7778457244481647,0.0,300.00000000206603,0.6164827028166158,0.5020920497896121,3.898840439831465e-22,0.10460251054853038,9.73752711664107e-21,7.741921273741368e-18,4.039275537614284e-17,5.099529878151566e-18,1.1982807074858053e-19,0.3933054396618574
0.005166666666666667,2.7778457240557284,0.0,300.000000130872,0.616482702903706,0.5020920494635439,3.3816309764816377e-20,0.10460251062320977,8.392177464234396e-19,6.733571348160723e-16,4.624300952603163e-15,4.2658463959674804e-16,1.2906740646089931e-17,0.39330543991324063
0.005916666666666667,2.777845723553629,0.0,300.00000321458936,0.6164827030151254,0.5020920434865022,1.1404969354381777e-18,0.10460251199207538,2.8275817888349477e-17,2.2693189231639916e-14,2.0190210617896782e-13,1.6589701877012914e-14,6.195705641036125e-16,0.39330544452118077
0.006291666666666668,2.777845798929758,0.0,300.00004089885965,0.6164826862869884,0.502091987211254,1.9268632019245968e-17,0.10460252487906192,4.772030208870188e-16,3.8249655065905157e-13,4.5187242015405685e-12,3.7051290481046664e-13,1.516222579175447e-14,0.3933054879043968
0.006572916666666668,2.7778473000531885,0.0,300.00045562777814,0.6164823531452447,0.5020915060146348,2.8404833521485096e-16,0.10460263504936228,7.0964380882389005e-15,5.5678309105135195e-12,8.868978288728236e-11,7.631409287012838e-12,3.2473929480548043e-13,0.3933058588337818
0.006750000000000001,2.7778606389598504,0.0,300.0032104894326,0.6164793928816241,0.5020890022054456,2.8263370720265563e-15,0.10460320802788736,7.590832027728259e-14,5.02115829243703e-11,1.0674551285235454e-09,9.763446852074178e-11,4.247426619145129e-12,0.3933077885470397
0.006916666666666666,2.777982763603345,0.0,300.02437396950234,0.6164522914498601,0.5020738083153583,4.2597849662506143e-14,0.1046066814570761,1.4298735716656025e-12,4.900103238747574e-10,1.4060475828596859e-08,1.3798292135795807e-09,6.089165257400673e-11,0.39331949423488627
0.007,2.778407981325191,0.0,300.09007237349783,0.6163579473580485,0.502036120647422,5.294068084409738e-13,0.10461527842235162,2.1692108370351437e-11,2.22295887621176e-09,8.244991684725586e-08,8.611301372253365e-09,3.845806262061267e-10,0.39334850723924714
0.007041666666666667,2.779231435508245,0.0,300.208457527337,0.6161753276565864,0.5019799767248542,3.5655902600056604e-12,0.10462803523519029,1.5283841987494338e-10,6.060644340824827e-09,2.7941887941698e-07,3.0789240672148214e-08,1.3899945623618884e-09,0.3933916702247927
0.007083333333333334,2.7815975699888984,0.0,300.53226346210926,0.6156511852012934,0.5018498553010851,2.374685984026765e-11,0.10465740396235992,1.0261887784061341e-09,1.8649966194803384e-08,1.100544484012005e-06,1.2872233669633738e-07,5.8849829242848e-09,0.3934914858848495
0.007125,2.788327974190154,0.0,301.4172561446673,0.6141651403205255,0.5015489034882721,1.6529917276575188e-10,0.10472449295633472,6.931951534990778e-09,5.990692853358831e-08,4.513230789789472e-06,5.585448531325795e-07,2.59294728530404e-08,0.3937214388460982
0.007145833333333334,2.796285656258953,0.0,302.4337093395259,0.6124173467660207,0.5012508093868882,5.869441720668382e-10,0.10478961529812161,2.2744113093765867e-08,1.1591982327206148e-07,1.0238827048777647e-05,1.313749983319367e-06,6.18224217801133e-08,0.3939478216646558
0.007166666666666667,2.8113995917075107,0.0,304.32588231398324,0.6091250240598897,0.5007598210369133,2.1899040675104417e-09,0.10489383930804237,7.396999857656519e-08,2.358461242259092e-07,2.4877609038396513e-05,3.3268389211525313e-06,1.5895215871213842e-07,0.39431766424889914
0.007187499999999999,2.8399347306045466,0.0,307.8374195346615,0.6030046494041512,0.49995622177288673,9.692717861047928e-09,0.10505654851000115,2.4218762277342274e-07,4.938813715953234e-07,6.195439247800669e-05,8.633879007592037e-06,4.188734050697591e-07,0.3949154768105093
0.007197916666666667,2.8635704311276378,0.0,310.7106230807029,0.5980274938776398,0.49936398754784517,2.8205131417963367e-08,0.10516886296429352,4.792498067148665e-07,7.397646713712273e-07,0.00010155637369382946,1.4483789991158593e-05,7.085082776160856e-07,0.39534915359628914
0.007208333333333333,2.897408080664845,0.0,314.78933850579307,0.5910433750390398,0.4985902972414876,8.715531796357007e-08,0.10530463661655298,9.676106301583931e-07,1.1349566625096558e-06,0.000170489788913397,2.4899590405567633e-05,1.2294574120962822e-06,0.3959062575826177
0.007218749999999999,2.9455878705319782,0.0,320.5536815543643,0.5813759184737403,0.49758636867808,2.899958107981901e-07,0.10546185279825353,2.0029997578275296e-06,1.7811438647096273e-06,0.0002891130794003912,4.303357242713197e-05,2.1491629745477295e-06,0.39661340856943106
0.007223958333333333,2.9771762321119226,0.0,324.31415026497496,0.5752074185871426,0.4969721836244431,5.825178311572986e-07,0.10554595838763803,2.9959972813124742e-06,2.2732198537086117e-06,0.0003800981269866979,5.680439625310418e-05,2.861306882787916e-06,0.39703624242283
0.007229166666666667,3.015206647954829,0.0,328.8253247687719,0.5679524014535181,0.49627102435397163,1.1382736184651725e-06,0.10562977098562593,4.536936114609424e-06,2.935415615845482e-06,0.00050242568438007,7.500535907945271e-05,3.823570828222797e-06,0.39750933942076583
0.007234374999999999,3.0608247506619284,0.0,334.2189804641013,0.5594877189546871,0.49547340414683444,2.1946820964371107e-06,0.1057092373195401,6.944294890861656e-06,3.8354828265677595e-06,0.000665726448329647,9.848677608352419e-05,5.105593355841408e-06,0.3980350652560426
0.007239583333333333,3.1152950228778096,0.0,340.6405817593804,0.5497051952690035,0.4945697187384915,4.173225703479068e-06,0.10577904662499389,1.0717452231063103e-05,5.07177656442965e-06,0.0008818763185843209,0.00012786781879112023,6.783520539510279e-06,0.3986147445241008
0.0072421875,3.1463697427155473,0.0,344.29774172777365,0.544276102062828,0.4940715026160953,5.792084300966167e-06,0.10580800364562715,1.3419102902375782e-05,5.874657613297532e-06,0.0010160347374055534,0.00014491532138930643,7.805611194136264e-06,0.3989266522234721
0.007244791666666667,3.1803100873931767,0.0,348.28667599464575,0.5384675746586394,0.4935417091941336,7.976562593286435e-06,0.10583109185651979,1.682585205620018e-05,6.830987191383874e-06,0.0011708549665759437,0.00016354523346997173,8.967856182844437e-06,0.39925219749127694
0.007247395833333333,3.21730559005233,0.0,352.62915624448266,0.5322757852942158,0.49297912624666707,1.0908416666682881e-05,0.10584706645269489,2.110245313605773e-05,7.971350065392505e-06,0.0013489115435944576,0.0001836184296294067,1.0280030017972078e-05,0.399591015077528
0.00725,3.257540993377938,0.0,357.3464323080736,0.5257013995673153,0.4923826064593034,1.4816909619617454e-05,0.10585459950457848,2.6441220833032765e-05,9.33186852049377e-06,0.0015529362861825262,0.00020491381090898892,1.1749945809859892e-05,0.3999426039942437
0.007252604166666667,3.3011916648344095,0.0,362.4587174892039,0.5187502068797611,0.4917510827476527,1.9987775481206326e-05,0.10585229389893375,3.3060776817811986e-05,1.0954713254790774e-05,0.0017857850916066103,0.0002271244700859555,1.338272905021785e-05,0.40030632779711706
0.007255208333333333,3.348418417545778,0.0,367.9846070460386,0.5114336516751384,0.4910835833810304,2.6772396250132533e-05,0.1058386992941725,4.120178162459153e-05,1.2888429496122721e-05,0.0020503938242131003,0.0002498610155209457,1.518009673692563e-05,0.40068141978095523
0.0072578125,3.3993619051895347,0.0,373.94044855511186,0.5037692089725008,0.4903792464552394,3.559664407662864e-05,0.1058123297925258,5.1118830461857885e-05,1.5187978728667935e-05,0.002349723850094072,0.00027266331420338486,1.7139697219020436e-05,0.4010669934374513
0.007260416666666667,3.454136850454987,0.0,380.339693027678,0.4957805470184382,0.4896373332472709,4.6968663662673796e-05,0.10577168328739958,6.306794270122731e-05,1.7914392881823298e-05,0.002686698888807722,0.00029502089929385304,1.9254567674451228e-05,0.4014620581103078
0.007263020833333333,3.5128264516296834,0.0,387.1922651099581,0.48749742688424946,0.4888572400063636,6.148472183279094e-05,0.10571526276905144,7.72895661156181e-05,2.113394975423709e-05,0.0030641359901760223,0.00031640093947638654,2.1512760806938266e-05,0.401865539296423
0.007265625,3.5754773726801985,0.0,394.5039974873466,0.47895530490405375,0.4880385077904556,7.98321701214013e-05,0.10564160011770525,9.398773862183547e-05,2.491680950168847e-05,0.003484674398185788,0.00033628123757592135,2.389718157267767e-05,0.40227630255625973
0.007268229166666667,3.642095740232451,0.0,402.27617667608604,0.4701946286461375,0.4871808300375705,0.00010278859322596701,0.10554928290971066,0.00011330691775584104,2.9335102366361714e-05,0.003950706618304204,0.0003541845588032914,2.6385661338834914e-05,0.4026931796009243
0.007270833333333333,3.7126445326239996,0.0,410.50524322475144,0.4612598480226826,0.48628405765354793,0.00013121638461876736,0.10543698438578288,0.0001353088349089631,3.4460522644793884e-05,0.00446431600895116,0.0003697100265400712,2.895128364672713e-05,0.4031149948993588
0.0072734375,3.787042648792992,0.0,419.1826786278971,0.45219819539443784,0.48534820148212016,0.00016605231302713864,0.10530349597617934,0.00015995233473093786,4.036155324860903e-05,0.00502722464963171,0.0003825575829604588,3.156296388317321e-05,0.40354059114421853
0.007276041666666667,3.865165798972895,0.0,428.29509514980685,0.4430583161307376,0.48437343208409467,0.00020829210056084855,0.10514776079603363,0.00018707930087795557,4.7100505825358026e-05,0.00564075422357268,0.00039254258936537883,3.4186273429234245e-05,0.4039688521262403
