Phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.3,1142.5773812594384,3.93486983277411e-10,1.2719134597393602e-12,2.655395169194861e-09,0.1439800295998548,7.698923084674533e-07,0.04115190765451724,3.3256149504477264e-09,2.1955719758108639e-10,5.701717047666509e-44,1.646226708348356e-45,7.436905660091544e-44,6.8770352077037365e-46,5.223191635402289e-41,8.664767468349348e-40,4.572797203925398e-10,0.04115229442003666,6.071847611126362e-24,9.177042505687888e-26,7.475845850081797e-37,2.7427677708172207e-39,4.220358220181335e-37,2.146677072452847e-61,6.609529093440781e-55,6.125927796883805e-65,8.140708416669141e-63,1.1414002830325068e-72,1.013792170490884e-72,8.9084738919839e-48,4.450972372695643e-46,5.322245189121778e-52,3.3550881168292075e-19,9.395048534682581e-21,7.427133092911268e-21,1.7493954638137843e-18,8.41392094618767e-19,0.00010178515489322188,1.910220054980162e-06,7.388180190685893e-09,3.1985712938525017e-13,3.6265828412496995e-34,2.3402865176080323e-28,6.899823484330493e-41,5.661954345643895e-46,7.592791791084268e-34,1.296581173287928e-25,8.728868801351179e-21,2.4508042323139568e-24,0.7736112886172285,0.0,4.163720497960673e-105,3.813846672560319e-105,1.9166855447114617e-56,2.6542954156822685e-56
0.32727272727272727,1208.9797064222003,1.8443852215467594e-09,1.0008626921959668e-11,1.1244286784236456e-08,0.13807566760865092,2.0364055681854227e-06,0.044808562297261004,7.261307365645479e-09,4.349132586160486e-10,4.063318882275847e-41,1.242977551891471e-42,3.6314510052788707e-41,4.151178836166928e-43,1.3069739493838275e-38,1.2593065213414403e-37,2.594953996895068e-09,0.04480958382066092,1.7736104599616548e-22,2.3624577366553445e-24,7.188277535879622e-35,3.098376327894134e-37,2.8628612422419764e-35,1.5111130614839227e-57,1.4045894203198376e-51,4.098731560222755e-61,2.746768955297801e-59,1.2010114893281435e-68,7.001098336580226e-69,6.419764031453389e-45,1.8535503480113044e-43,4.694467431136641e-49,5.292430437030249e-18,1.5986336180927206e-19,1.0259138507954823e-19,1.2852312155534464e-17,7.594233152431596e-18,0.00016894937371152562,2.2251228844163888e-06,1.1729296567385104e-08,1.2251767565196356e-12,5.053055327132945e-32,1.1855682646622256e-26,1.449297665474374e-38,1.980192602594995e-43,4.796142271268733e-32,2.7876064979196577e-24,1.0263340836641828e-19,5.75844038947345e-23,0.772132940250886,0.0,2.0078135694338914e-99,1.1946809238993752e-99,2.556237783762931e-53,2.4743797603788064e-53
0.35454545454545455,1274.0874141604374,7.2346207051478334e-09,6.176317728862336e-11,3.9906019400294724e-08,0.13217938687675274,4.7906722662853244e-06,0.04845081582822127,1.4383110824084549e-08,7.942429843625702e-10,1.323795043414313e-38,4.274889959182433e-40,8.542307358551303e-39,1.1765847211679858e-40,1.71549158946954e-36,1.0303711436197395e-35,1.2004973249810542e-08,0.048453214412676644,3.48096441411103e-21,4.167371262394742e-23,4.0570305459152276e-33,2.01567988195593e-35,1.1936876820595015e-33,3.7401515232253323e-54,1.2179730056379613e-48,9.778112283774267e-58,3.6054147621945633e-56,4.3030541432279435e-65,1.7402251119518986e-65,2.133460599221116e-42,3.8211806760380025e-41,1.8741530473227765e-46,5.991404223173003e-17,1.9399575508087614e-18,1.0401723209246318e-18,7.509040850895409e-17,5.2778199967154995e-17,0.00026287263457015157,2.528678264289332e-06,1.757844835188422e-08,3.994454800130499e-12,3.914571245376131e-30,3.792397678627849e-25,1.6256428887092584e-36,3.467777526187801e-41,1.858723875939518e-30,4.181158907953113e-23,9.064583362179917e-19,9.310260420531334e-22,0.7706462989300752,0.0,2.1183445524424627e-94,8.666144186680736e-95,1.4719575437743215e-50,1.0448067853344331e-50
0.38181818181818183,1337.9490727173331,2.448166094165142e-08,3.115661902628192e-10,1.2231345322440332e-07,0.1262887191758577,1.0224798503677526e-05,0.05207811792133183,2.6269720844818952e-08,1.3553315544898553e-09,2.255952496423755e-36,7.667979217700585e-38,1.097742492053752e-36,1.7836103622790723e-38,1.3200043785270694e-34,5.240642810947506e-34,4.690074063018494e-08,0.05208322255317636,4.9153895088763766e-20,5.375983153042388e-22,1.4729295802220902e-31,8.303550030242423e-34,3.3265451344698144e-32,3.8975539761987346e-51,5.029822687643809e-46,9.935542548046959e-55,2.16656250180808e-53,6.320831409826492e-62,1.8568410681534165e-62,3.735910831586859e-40,4.4018795587848364e-39,3.8815698383795157e-44,5.152520528196882e-16,1.7791849349359862e-17,8.16336268914688e-18,3.629099088784961e-16,2.9538256242759747e-16,0.0003875848274207833,2.8139887001900985e-06,2.5108067112531272e-08,1.1394093710676459e-11,1.8656860313208056e-28,8.291862987616782e-24,1.0848069794606445e-34,3.4250321130783316e-39,4.8060659414321246e-29,4.654586633342006e-22,6.316423873664765e-18,1.1044972664895078e-20,0.7691490699830738,0.0,6.353687337434811e-90,1.8731497816303402e-90,4.2291403519241263e-48,2.290357039350445e-48
0.40909090909090906,1400.6067412650543,7.319552494797338e-08,1.3272222506377064e-09,3.3144198005928303e-07,0.12040153543786324,2.0108456984426098e-05,0.05568960170330042,4.4805003065623865e-08,2.1839199858077058e-09,2.2343563423864215e-34,7.974730255930738e-36,8.503195249482624e-35,1.601126010149964e-36,6.495292149083419e-33,1.7905367043379383e-32,1.590588859827463e-07,0.05569959533299456,5.268321021235381e-19,5.336521572765402e-21,3.695399062573026e-30,2.3329141916272828e-32,6.615562971454654e-31,1.9688391555406847e-48,1.1163917818769732e-43,4.9415457207161265e-52,6.770249220105678e-51,4.401942357050775e-59,9.762249203257956e-60,3.8260549648287206e-38,3.1152465100125917e-37,4.64047437387583e-42,3.5190663042762786e-15,1.2904148570020724e-16,5.1693927382738936e-17,1.4962626448697264e-15,1.3787948982853252e-15,0.0005461244075524968,3.0752440109815824e-06,3.4435114036570674e-08,2.9052771951638045e-11,5.920884781319238e-27,1.3184894908964755e-22,4.686452447012365e-33,2.0939278376234643e-37,8.853227222039006e-28,4.036594911465235e-21,3.608751373776967e-17,1.0109324331927554e-19,0.7676393129405842,0.0,6.649976456174287e-86,1.469591908711047e-86,6.789340086682751e-46,2.900257998120473e-46
0.43636363636363634,1462.096303785641,1.9705299745720837e-07,4.89901973768232e-09,8.088822773317513e-07,0.11451614616873979,3.688977675848582e-05,0.05928401317201573,7.207852785240774e-08,3.3506364959471596e-09,1.3982232806969837e-32,5.230167802076666e-34,4.292727597928805e-33,9.227793204724677e-35,2.1900398836917332e-31,4.370593298626243e-31,4.786322287107086e-07,0.059302218354263456,4.47183509717273e-18,4.244384293561314e-20,6.781889391289894e-29,4.741517197700994e-31,9.890338140050677e-30,5.391668532154807e-46,1.4660273746898785e-41,1.3434809613673349e-49,1.2173265290763273e-48,1.6311896603628296e-56,2.821600278992029e-57,2.4894944452428307e-36,1.4603480555501072e-35,3.4857213047056296e-40,1.9771970057602168e-14,7.672477920238096e-16,2.72978953445196e-16,5.393152062594887e-15,5.5191836416077885e-15,0.000740310460375123,3.3076366566866653e-06,4.561346944646589e-08,6.735298466151617e-11,1.33229237837702e-25,1.6016898544894521e-21,1.4016633246056061e-31,8.531374152197553e-36,1.2239232140844606e-26,2.83393819382779e-20,1.7428854447980866e-16,7.429163190954379e-19,0.7661155038546488,0.0,2.858155198136233e-82,4.8954689306570536e-83,6.662817421688498e-44,2.3092471156175484e-44
0.4636363636363636,1522.4472173149866,4.85031843653906e-07,1.5997385675279644e-08,1.8044674577336157e-06,0.10863139216977434,6.375481723133626e-05,0.0628596491405846,1.1024283465953037e-07,4.9271031694353445e-09,5.9122235667572995e-31,2.314162907432717e-32,1.5038875076901645e-31,3.643573876866757e-33,5.348852099830997e-30,8.00908909428509e-30,1.3006370922601081e-06,0.06289077906315822,3.1104425604674654e-17,2.7941008976421563e-19,9.530511607755028e-28,7.309611099821582e-30,1.1590680654680525e-28,8.757553851702259e-44,1.2305098968076768e-39,2.1820968273659976e-47,1.3662952772948875e-46,3.529192505820431e-54,4.896576781007143e-55,1.1000019264221145e-34,4.817647795522216e-34,1.7612299772803613e-38,9.400745147749687e-14,3.8492894741167235e-15,1.2343511687140635e-15,1.7332401214015903e-14,1.937350191341328e-14,0.0009705958421318553,3.5072589553478508e-06,5.862956508758773e-08,1.4391062581803788e-10,2.2355792712562196e-24,1.5465516615009845e-20,3.0632850763526224e-30,2.4582082039896604e-34,1.324066826725176e-25,1.6612139788562397e-19,7.292561771127349e-16,4.526083859550383e-18,0.7645765416308348,0.0,5.750711645580327e-79,7.8555765995859e-80,4.296779970805226e-42,1.2377870765563228e-42
0.4909090909090909,1581.6816262506914,1.105219230033565e-06,4.699750137292207e-08,3.723932142582445e-06,0.1027467519234363,0.00010463039500492648,0.0664143058723495,1.6133658292551053e-07,6.981395913243864e-09,1.783763345584561e-29,7.297187233373023e-31,3.84751952277977e-30,1.0390479071816664e-31,9.900223785576984e-29,1.1471814061799407e-28,3.23768960828618e-06,0.06646459989129526,1.822739074399153e-16,1.5632108642801838e-18,1.0644093368797467e-26,8.882850870871791e-29,1.1016741477335533e-27,9.076615379399333e-42,7.029752165785854e-38,2.2759411027633234e-45,1.0228106756813391e-44,4.807952339530046e-52,5.4815144647471305e-53,3.484205448193917e-33,1.174970561545872e-32,6.327283494481053e-37,3.8700263823553323e-13,1.6681625009318257e-14,4.883248650367049e-15,5.0468333845931965e-14,6.072526437594798e-14,0.0012359869348995231,3.6709979280515023e-06,7.340037634340887e-08,2.8652911104425287e-10,2.9144350444000353e-23,1.225828116678273e-19,5.111274349315357e-29,5.256625046161824e-33,1.159637769440299e-24,8.337355376925116e-19,2.6969647735036408e-15,2.3461751394037948e-17,0.7630216981411972,0.0,6.025993005725809e-76,6.7292808196729125e-77,1.9311680137445106e-40,4.721546948745417e-41
0.5181818181818182,1639.8127497909427,2.3553627556299795e-06,1.2594334241435515e-07,7.17915723502593e-06,0.09686249867025844,0.00016411804034342342,0.0699452377807746,2.2708374782459007e-07,9.573002980960296e-09,4.01520992343505e-28,1.7151397631365125e-29,7.49535574899832e-29,2.2346585953733822e-30,1.4411533865418448e-27,1.327652460020525e-27,7.470280748989438e-06,0.07002236823802649,9.205835246282748e-16,7.595551117880845e-18,9.740413566421475e-26,8.782257208040198e-28,8.733584585768914e-27,6.373332568525639e-40,2.878147603991965e-36,1.6174791182765878e-43,5.392596970868906e-43,4.388303556123481e-50,4.198800274875223e-51,8.27028811819428e-32,2.2059742056710417e-31,1.6914519375829546e-35,1.4055094424885716e-12,6.365498830631204e-14,1.720253375054865e-14,1.3491012977241794e-13,1.7250408006486708e-13,0.0015340116393300798,3.796438114117876e-06,8.977287622005445e-08,5.363770195947905e-10,3.052615252632674e-22,8.189569705411327e-19,6.749949111406427e-28,8.678632514584251e-32,8.454338607395242e-24,3.657156223423446e-18,8.961584114800797e-15,1.0570577915374844e-16,0.7614505114812629,0.0,3.589541118681672e-73,3.3483903668266774e-74,6.348162820447256e-39,1.3415252984165247e-39
0.5454545454545454,1696.8424151580782,4.734506121717382e-06,3.113764601324734e-07,1.3032113751948482e-05,0.09097994475347404,0.00024734896969143125,0.07344912343565506,3.0867863319381003e-07,1.274738284304987e-08,6.995594534979765e-27,3.118189606811214e-28,1.1509124753100165e-27,3.756310733414093e-29,1.7012611225432362e-26,1.276031595682816e-26,1.6131366751895003e-05,0.07356172431117505,4.083020507060654e-15,3.2632523645906366e-17,7.489744593958177e-25,7.250708793260376e-27,5.909875481389869e-26,3.185595745145938e-38,8.813130451708061e-35,8.225993081620736e-42,2.0946671609929637e-41,2.824682261032801e-48,2.310836567117199e-49,1.5260315763553249e-30,3.2967221272780635e-30,3.493602731293162e-34,4.572985404044597e-12,2.172768049380703e-13,5.47521666140561e-14,3.3471309042841613e-13,4.4957442769552504e-13,0.0018607173263107382,3.881780032189336e-06,1.0752415732659645e-07,9.509854972674017e-10,2.640984001996389e-21,4.713627296335059e-18,7.26799641734714e-27,1.1429168389820315e-30,5.2498728046883094e-23,1.426118155192498e-17,2.7120841141123526e-14,4.2126457407499894e-16,0.7598626201537559,0.0,1.3068449958853347e-70,1.037875638057259e-71,1.5883695860382033e-37,2.948389033756787e-38
